id,user/name,full_text,favorite_count,reply_count,created_at
Ugw8AE3PoSMZg8dPaEh4AaABAg,🍄 Super José Bros. 🍄,Saudades do dia que saiu o primeiro Teaser desse Filme 🥲,1,0,2023-03-06T22:06:19Z
UgyZYkk6RwUiFwJcal14AaABAg,Cronodougメガ,"Espero que não façam a idiotice de mudar os Dubladores. Isso ficou ideal, muito além da versão americana.",0,0,2023-02-27T06:13:37Z
UgyW6S_FutA55lvCdGh4AaABAg,wellisson diniz,"uma das melhores dublagens que ja vi , nao mudem a dublagem .... nem os atores .... excelente .... conto pra ver essa mesma dublagem .....no final",0,0,2023-02-06T00:52:37Z
Ugx2o0eT3Ttj7IEIpfd4AaABAg,Flavio Abraão 2022,A dublagem do filme ta boa mas o trailer ta melhor ainda espero que a bilheteria do filme seje de 1 bilhão,0,0,2023-02-05T21:25:14Z
UgygaYHK_OXuKwh9Ufl4AaABAg,Roberto Junior,vai ser muuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuito PH0D@ 😁❤‍🔥,0,0,2023-01-26T18:37:05Z
UgwHQgHRhMRReZlOC2R4AaABAg,Douglas Silva,"A dublagem brasileira nesse teaser está maravilhosa. Torço muito para que não mudem para algum maluco, ou apresentador ou influenciador digital. De repente o cara do caneta azul.",0,0,2023-01-24T18:19:49Z
Ugzv_wQb1y3gUkNIdCF4AaABAg,gregory,A voz do kamek 🤣 eu não  suporto isso não,0,0,2023-01-21T20:32:22Z
Ugx63tK-PJN8KGX8woB4AaABAg,0HZ,"O Mario é o herói e tira os vilões de letra nos jogos, nesse filme parece que o Mario é um mer.d4",0,0,2023-01-12T23:31:26Z
Ugwh_KTM7j1JTv3HEht4AaABAg,Jhonny testei,Adorei não troque os dublador por favor,0,0,2023-01-09T20:51:21Z
Ugy_OrNmswqhLipzvoR4AaABAg,Descompactado,Os pinguins do Super Tux do Linux,0,0,2023-01-06T02:50:24Z
Ugzo1xi0yzj2NAFCM3B4AaABAg,fernando claudio,Eu também já vi o trailer,0,0,2022-12-26T00:19:34Z
UgwIAwu7BJXEztfVX0B4AaABAg,Jon grabiel,não bote os startalents não é uma boa ideia.,1,0,2022-12-24T13:21:04Z
Ugx-CsC72tvFbbXFnKp4AaABAg,Jon grabiel,"universal, não troquem o elenco mantenha os dubladores por favor, não coloque famosinho que não tem experiencia de dublar, todos eles estão bom.",1,0,2022-12-24T13:19:58Z
UgyshVb9ebHcAO8tgOJ4AaABAg,Francisca Lucia Alves,Ja joguei nintendo switch meu nome e Davi Alves nintendo switch,0,1,2022-12-22T16:51:50Z
UgwHBsEBB2lAthnp38R4AaABAg,Glaucia Lima,"Ansiosa pra ver, amo Mário minha infância 😻",0,0,2022-12-22T09:17:44Z
UgxqnSzdqX9f191ejr94AaABAg,Eu Sou Eu 🌙💜,Isso tá perfeito! Pegou a essência dos jogos 🥲... Acho que vou surrrtarrrrr 🤯😱,1,0,2022-12-22T00:39:07Z
UgzIbnuSww4P88gIoDF4AaABAg,Nilo Duarte,Dubladores que estão fazendo as vozes dos personagens do filme:<br>Mario: Raphael Rossatto<br>Luigi: Manolo Rey<br>Princesa Peach: Carina Eiras<br>Bowser: Márcio Dondi<br>Toad: Eduardo Drummond<br>Donkey Kong: Pedro Azevedo<br>Kamek: Robrigo Oliveira<br>Rei Pinguim: Marco Ribeiro,4,1,2022-12-21T02:02:42Z
UgxB1yBA7wv6tA1T12t4AaABAg,Romildo Nunes De Oliveira,Gostei,0,0,2022-12-20T16:44:41Z
UgydnpsPRog8JDxBS0R4AaABAg,João Kiss,Pensei que era um Live action... que bosta.,0,1,2022-12-18T03:31:33Z
UgxX0Z_5G7Gn2Ja9VqZ4AaABAg,Ivone Cardoso,🤜🤛😍😍💕🙈🤜🙈😆❤️😆😘🤛💖😲😍,0,0,2022-12-17T20:31:36Z
Ugw4rbey5Bgllq4IdCF4AaABAg,Henrique Oliveira,Vai sair em algum streaming depois?,0,0,2022-12-13T17:08:34Z
UgwEakIUv3Bu-8j-Bz94AaABAg,Juan Guimarães,É o meu desenho favorito.,2,0,2022-12-12T21:26:10Z
UgzSO-tabGcg-C4ZGNl4AaABAg,Mamer Ggtow,"só quem jogou mario no nes, sabe o quão emocionante é isso<br>acho q vou para o cinema, depois de tanto tempo ficar sem ir.",22,0,2022-12-11T04:55:43Z
UgyhYCm8b-QlUDg48Wx4AaABAg,Seathus,"O filme parece estar ótimo, a dublagem brasileira, como sempre sensacional, mas tem um porém... Essa princesa ficou totalmente nada a ver!! Peach nunca foi uma guerreira, respeitem os fãs que acompanham e compram os jogos há décadas e tragam a verdadeira princesa Peach de volta! Não é crime uma mulher ser feminina, respeitem suas origens e deixem a lacração de lado!!",0,2,2022-12-11T04:04:21Z
UgxQsdlRB-hJ0h-XtPl4AaABAg,Aline Ramos,"● RESENHA DO TRAILER: youtube: HERÓIS E MAIS GAMES: 👉<a href=""https://youtu.be/Gcl1Dys39B0"">https://youtu.be/Gcl1Dys39B0</a>",0,0,2022-12-09T01:50:20Z
Ugwfhvs-_Xp6l3XV3WB4AaABAg,Diane Lammers,"I&#39;m probably the only non Brazilian here, but Mario kinda sounds more like Mario here.",1,0,2022-12-08T19:15:43Z
UgzzyOqyZPfJZY2Tgcd4AaABAg,Marquinho,Tô muito ansioso para assistir no Cinema,0,0,2022-12-07T20:54:02Z
Ugzyi055X_CjFK9ukWR4AaABAg,Vitor Guedes,"<a href=""https://www.youtube.com/watch?v=wkn-Gb-Fhac&amp;t=0m46s"">0:46</a>",0,0,2022-12-07T15:18:03Z
Ugy6UuVPhdxXaqiXbsd4AaABAg,claudia antonio,Quando em 2023 vão sair o filme<br>Qual mês????<br>Amo super Mário,0,0,2022-12-06T22:41:35Z
UgzyjCCjn1-MUfv2tux4AaABAg,obreiro Mateus isso aí,Fizeram mesma coisa no Sonic 2 KKK 🤣,0,0,2022-12-06T00:39:49Z
Ugw3NlEDPBNpxBgobyV4AaABAg,ANA GATA MÚSICAS VÍDEOS,"<a href=""https://youtu.be/AioqpquwhWA"">https://youtu.be/AioqpquwhWA</a>",1,0,2022-12-04T20:01:05Z
Ugy_eTiVE9WuosfmfZ94AaABAg,Chronos,Pqp como sou fã de Super Mario! 😍<br>Como demorou para a Nintendo lançar algo assim! ❤<br>Imagina um filme de The Legend of Zelda ❤,1,0,2022-12-03T02:10:29Z
UgwFR6yxNT_HLRjWa7J4AaABAg,TÁSSIO CANAL,Mantenha essa dublagem perfeita,0,0,2022-12-03T02:06:10Z
UgyPq8XBYiIA25DOazF4AaABAg,JACQUELINE BARBOSA,Dublagem maravilhosa ❤👏👏,0,0,2022-12-02T16:26:11Z
Ugxp7_ioOIIZljvtUWZ4AaABAg,Pamela Almeida,É   MUITO  LEGAL,0,0,2022-12-02T02:17:07Z
UgzeRtuL-A0lwSHU0QV4AaABAg,Jefferson SCCP,Esse filme vai ficar bom dublado,2,0,2022-12-02T02:05:26Z
UgyGDgbFDQFImNaKgvl4AaABAg,Atreus Rodrigues,Esses Dubladores tem que ser mantidos no filme,0,0,2022-12-02T00:57:56Z
UgzRIe9GfA3mi8KclHR4AaABAg,Luan Isaias,"<a href=""http://www.youtube.com/results?search_query=%23supermarion%C3%A3otemstartalent"">#SUPERMARIONÃOTEMSTARTALENT</a>, esse comentário nem pode ser tão visualizado, mas é importante afirma que nós queremos esse filme sendo dublado por dubladores profissionais, os fãs não querem os personagens principais sendo dublados por atores famosos, queremos que a dublagem do trailer seja mantida do jeito que está",16,0,2022-12-01T21:52:01Z
UgzmvMqy3CJuZdOFOzh4AaABAg,Kênia K. 🌸,"UNIVERSAL, eu venho por meio desta implorar para que NÃO mudem os dubladores!!! <br>Esses estão perfeitos!!!!!!!!!",1,0,2022-12-01T19:30:48Z
UgxyEu_vKH0NhmCuuxd4AaABAg,TV DE TUBO Videogame,"<b>__</b> vai ser muito Massaa<a href=""about:invalid#zCSafez""></a>",0,0,2022-12-01T15:07:51Z
UgxKkUpo_daJxft4Va54AaABAg,Vex •_•,This isn’t fair why we have to get Chris Pratt and other countries get an actual voice actor,3,0,2022-11-30T13:55:13Z
