"id","user/created_at","user/default_profile_image","user/description","user/fast_followers_count","user/favourites_count","user/followers_count","user/friends_count","user/has_custom_timelines","user/id_str","user/is_translator","user/listed_count","user/location","user/media_count","user/name","user/normal_followers_count","user/possibly_sensitive","user/profile_banner_url","user/profile_image_url_https","user/screen_name","user/statuses_count","user/translator_type","user/url","user/verified","user/verified_type","full_text","favorite_count","reply_count","created_at"
"1631655668808830977","2013-12-04T17:06:09.000Z","false","Os carros mais Velozes, as cenas mais Furiosas e a Família mais unida! 🚗💨 Garanta seu ingresso para #VelozeseFuriosos10","0","3734","612889","111","false","2230225514","false","407","Brasil","12570","Universal Pictures Brasil","612889","false","https://pbs.twimg.com/profile_banners/2230225514/1683294781","https://pbs.twimg.com/profile_images/1486685932849881093/GuvrQLaq_normal.jpg","UniversalPicsBr","16985","regular","https://t.co/enJSYcGQDV","false","Business","Atendendo a pedidos #SuperMarioBrosFilme chega aos cinemas do Brasil no dia 5 de abril! Para os ansiosos de plantão, assim como nós, a contagem começou! https://t.co/5Ljnx8loyM","667","50","2023-03-03T14:00:00.000Z"
"1631664428880994304","2023-02-20T21:55:47.000Z","false","Notícias 📰
Games 🎮
Smartphones 📱 
Hardware 💽
Tutoriais ℹ️","0","26","3","31","false","1627789100609679360","false","0","Sao Paulo, Brazil","22","XPBLOG","3","false","https://pbs.twimg.com/profile_banners/1627789100609679360/1683233830","https://pbs.twimg.com/profile_images/1654228619936276482/ZZhu2pzk_normal.jpg","XPBLOG1","101","none","https://t.co/9QIeFGap2Z","false",,"@UniversalPicsBr 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷","3","0","2023-03-03T14:34:49.000Z"
"1631656827610972161","2021-06-14T19:55:16.000Z","false","🇧🇷 1994
✍ Tento desenhar e tento jogar","0","49557","364","1248","true","1404527825198198787","false","3","Brasil","1012","Edu","364","false","https://pbs.twimg.com/profile_banners/1404527825198198787/1681735736","https://pbs.twimg.com/profile_images/1638686844194893824/fWVbYTgo_normal.jpg","sousa_jpg","4101","none",,"false",,"@UniversalPicsBr E o pedido de manter os dubladores dos trailers e não trocar por star talents? 👀
#MarioSemStarTalent","23","1","2023-03-03T14:04:37.000Z"
"1631666394767949824","2020-05-14T03:13:07.000Z","false","✧ Artist except i never actually draw ✧ he/him ✧ 🇧🇷 ✧ In WAY too many fandoms ✧ i swear i try to be funny ✧","0","56111","211","792","true","1260769791478042630","false","0","","1017","DesaMatt","211","false","https://pbs.twimg.com/profile_banners/1260769791478042630/1664226524","https://pbs.twimg.com/profile_images/1574503774856568832/eMuuPPK8_normal.jpg","DesaMattt","8463","none",,"false",,"@UniversalPicsBr Eu quero saber a dublagem, vão continuar com os dubladores dos trailers ou vão trocar eles no filme??","7","1","2023-03-03T14:42:38.000Z"
"1631666473356648448","2022-10-11T18:55:55.000Z","false","Bem, olá torradinhas! 

Sou o Toaster, e este perfil é focado em coisas como animações, jogos, e claro, Super Mario! 

seja muito bem vindo! ^^","0","2930","61","111","true","1579908389823471637","false","1","","142","Super Toaster Guy!","61","false","https://pbs.twimg.com/profile_banners/1579908389823471637/1665515717","https://pbs.twimg.com/profile_images/1643345916663873541/2hPC0Pr0_normal.jpg","YoshiVerdin","2621","none",,"false",,"@UniversalPicsBr Sim, agora, bom mesmo deve ser a dublagem desse filme sem star talent! 
#MarioSemStarTalent","5","1","2023-03-03T14:42:56.000Z"
"1631672362226556930","2012-12-11T23:48:03.000Z","false","Tenho um canal sobre Mega Man | Editor | Tokufã | Apreciador de vídeo jogos antigos, indies e alguns modernos","0","34858","227","895","true","1005137898","false","0","","591","Dan Cabz","227","false","https://pbs.twimg.com/profile_banners/1005137898/1609387668","https://pbs.twimg.com/profile_images/1601416510857175042/w-8bXds8_normal.jpg","lorde_cabz","7076","none","https://t.co/CXdVD7QP5w","false",,"@UniversalPicsBr Não vejo a hora de assistir no cinema! Com certeza vai ser um filmaço!
Mas lembrando que todos nós queremos #MarioSemStarTalent ! A dublagem de qualidade e bem feita apenas por dubladores profissionais vai ser o segredo pro filme ser sucesso no Brasil!","15","0","2023-03-03T15:06:20.000Z"
"1631673238987104258","2021-01-20T00:58:57.000Z","false","","0","25886","58","490","true","1351695618859819009","false","0","","51","Joojbr25","58","false","https://pbs.twimg.com/profile_banners/1351695618859819009/1665242584","https://pbs.twimg.com/profile_images/1599107511570862081/eeFZvlQF_normal.jpg","Joo33277004","26605","none",,"false",,"@UniversalPicsBr ok, uma data adiatado eu gostei o filme está bem muito legal, porém queremos o elenco dos trailers sendo mantida no filme final por favoor e NÃO CHAMEM FAMOSOS PRA DUBLAR OS PERSONAGEMS.#MarioSemStarTalent","11","0","2023-03-03T15:09:49.000Z"
"1631676139226779649","2022-12-02T13:12:24.000Z","false","Protestante ✝️ | Deus cuida de mim🙏
16y | Indie e Emulador enjoyer | Não sei fazer bio de Twitter kkkk","0","13907","51","49","true","1598666211679768578","false","0","","299","NiceCarlos✝️","51","false",,"https://pbs.twimg.com/profile_images/1607755613748051969/PjcolI5N_normal.jpg","nicekarl0","1755","none",,"false",,"@UniversalPicsBr Se vocês atenderam ao pedido de ser adiado, também devem atender ao pedido de manter os dubladores do trailer, e sem famosinhos no elenco! #MarioSemStarTalent","7","1","2023-03-03T15:21:21.000Z"
"1631676269086531584","2019-03-31T13:59:36.000Z","false","🚫!18+/NFT ACCS DNI!🚫(SFW ONLY)/19 yrs/AroAce/ Brazilian artist,video editor./(Português & English)/Pronouns:any!(non-binary) Banner by: @xR3lentless","0","84534","782","984","false","1112353755004129280","false","15","SP,Brazil","4355","Tiutti🇧🇷 (COMMISSIONS OPEN)","782","false","https://pbs.twimg.com/profile_banners/1112353755004129280/1670532083","https://pbs.twimg.com/profile_images/1659756353152221185/gjADSLYC_normal.jpg","TiuttiChilly","67766","none","https://t.co/e5h6w4gskA","false",,"@UniversalPicsBr #MarioSemStarTalent CADE OS DUBLADORES OFICIAIS DO FILME?","10","0","2023-03-03T15:21:52.000Z"
"1631676993887502339","2015-06-06T18:19:49.000Z","false","♡♪!?
Sprite Animator and Pixel Artist✍
I do sprite commission, if interested call DM.

Maria is my OC, ok? No nsfw pls
22k subs on Youtube

pfp by @VinnydoNas19","0","94484","152","220","false","3310879053","false","17","Mushroom Kingdom 🏰","2683","Mériau (Comms Open!)","152","false","https://pbs.twimg.com/profile_banners/3310879053/1682725510","https://pbs.twimg.com/profile_images/1658203262556807169/4dRqhVwY_normal.jpg","NatanAnimates","25948","regular",,"false",,"@UniversalPicsBr ALELUIA,BICHO!
Mas a gente quer que voces atendem o nosso pedido mais importante também,que é a #MarioSemStarTalent !
Pois todos nós só quer Dubladores Profissionais nesse  filme, mantendo os MESMO dubladores que já estavam nos 2 primeiros trailers e no filme final

n vejo a hora","28","0","2023-03-03T15:24:45.000Z"
"1631677266877902848","2020-06-15T22:43:59.000Z","false","Não sei o que colocar aqui. 🧐

Foto de perfil feito por:@KaizoSupremo

Friend code Nintendo Switch:-4929-1289-1194 |","0","14521","143","185","true","1272660954648653826","false","3","🟣 Ilha secreta 🍄","999","⚪Rangel Gomes🟣","143","true","https://pbs.twimg.com/profile_banners/1272660954648653826/1672522506","https://pbs.twimg.com/profile_images/1641168442312073222/Ng0nVXl8_normal.jpg","RangelGELGomes","10370","none","https://t.co/ZBHXXOnMfF","false",,"@UniversalPicsBr MÁXIMO! 🤩 E já que vocês estão atentos a pedidos, por favor nada de celebridades na dublagem do filme, continuem com o mesmo elenco dos trailers. 🙏 #MarioSemStarTalent","14","0","2023-03-03T15:25:50.000Z"
"1631666133068574723","2008-05-09T14:24:28.000Z","false","","0","10763","51","93","true","14713780","false","0","","40","Bruno Sky","51","false","https://pbs.twimg.com/profile_banners/14713780/1472003442","https://pbs.twimg.com/profile_images/1521306087034654720/sIz2nE3P_normal.jpg","Bruno_Sky","3840","none",,"false",,"@UniversalPicsBr Glória!!","1","0","2023-03-03T14:41:35.000Z"
"1631667643777273858","2022-03-25T18:10:57.000Z","false","Formando em Design Gráfico,🇧🇷 Ela/Dela/20/Autista/Multifandom/Demi/Pan/Desenhista","0","9709","326","2233","true","1507419663743000587","false","11","Ananindeua, Brasil","110","Blue's Shrine","326","true",,"https://pbs.twimg.com/profile_images/1602659881944858631/lRlATD6Y_normal.jpg","AnnieShrine920","5454","none","https://t.co/r1p6uu5g9v","false",,"@UniversalPicsBr pra ser honesto, a contagem regressiva pra estreia do filme já deu início desde janeiro!","2","0","2023-03-03T14:47:35.000Z"
"1631676281770180608","2020-11-24T23:39:47.000Z","false","◇Brawl Stars, FNF, Mario, Kirby e etc◇ Speak: 🇧🇷🇺🇸, I'm Brazilian / Artist ✏ (15y) Best Friend: @CapitaoLivez Galeria: @Igor_Arts_","0","24370","992","2553","true","1331381611259191303","false","16","Brazil","2296","💤Igor💤","992","false","https://pbs.twimg.com/profile_banners/1331381611259191303/1684200848","https://pbs.twimg.com/profile_images/1660097869024575490/HoqaNJVm_normal.jpg","IgorGbriel1_slk","26667","none",,"false",,"@UniversalPicsBr @CapitaoLivez","0","0","2023-03-03T15:21:55.000Z"
"1631677291880230912","2016-09-17T22:47:45.000Z","false","","0","3256","64","2784","true","777277892678090752","false","0","","379","Urso","64","false",,"https://pbs.twimg.com/profile_images/1652529053960749058/OWyMAVVH_normal.jpg","AbracaoDoUrsao","17881","none",,"false",,"@UniversalPicsBr Eu vou assistir!","0","0","2023-03-03T15:25:56.000Z"
"1631677315951230978","2021-01-05T00:33:56.000Z","false","vencemos!","0","5164","37","264","true","1346253405447184386","false","0","not twitter ","35","Gaba iel","37","false","https://pbs.twimg.com/profile_banners/1346253405447184386/1668680634","https://pbs.twimg.com/profile_images/1648962512639893506/UVkutK9r_normal.jpg","GabetteMystic","3519","none",,"false",,"@UniversalPicsBr mantenham os dubladores dos trailers no produto final dona universal, e outros dubladores profissionais em outros personagens do filme a gente não quer star talent nesse filme! #MarioSemStarTalent","9","0","2023-03-03T15:26:01.000Z"
"1631677508289437698","2019-11-03T23:22:52.000Z","false","fã da Nintendo e de Pokémon | estudando pogramação |","0","1427","39","77","true","1191133582376476680","false","0","hyrule","39","fernando","39","false","https://pbs.twimg.com/profile_banners/1191133582376476680/1678331910","https://pbs.twimg.com/profile_images/1659018046768332800/_L33GjX0_normal.jpg","fernandooled","704","none",,"false",,"@UniversalPicsBr osh mudou a data de novo. aqui vai ser antes dos EUA?","2","1","2023-03-03T15:26:47.000Z"
"1631680484169199616","2020-08-05T16:07:24.000Z","false","Toast","0","87093","458","680","true","1291043080464982024","false","16","","2584","En20 Silva 🇧🇷","458","false","https://pbs.twimg.com/profile_banners/1291043080464982024/1674611679","https://pbs.twimg.com/profile_images/1637138415333376007/oEar_pmt_normal.jpg","ToadBolado","25483","none",,"false",,"@UniversalPicsBr EITA!!! Agora sim melhorou B)
Mas, atenda o nosso pedido também! queremos apenas dubladores prossionais neste filme. nada de famosos e etc. 
Queremos uma dublagem excelente! #MarioSemStarTalent","11","0","2023-03-03T15:38:37.000Z"
"1631682095679455233","2019-05-28T15:09:36.000Z","false","Uma pessoa qualquer neste imenso mundo...

Fã de Mario, Wario, Kirby, Klonoa, Metroid, dentre outros. :)","0","82121","364","286","true","1133389868598550530","false","3","Brasil","2234","Ariel Albertim","364","false","https://pbs.twimg.com/profile_banners/1133389868598550530/1618514572","https://pbs.twimg.com/profile_images/1509668270504386562/vUTNIw2p_normal.jpg","ariel_1046cc","43372","none",,"false",,"@UniversalPicsBr Amém!! E espero também que nosso pedido de não ter celebridade na dublagem desse filme também seja atendido! Queremos dubladores profissionais fazendo desse filme uma experiência mágica! #MarioSemStarTalent","16","0","2023-03-03T15:45:01.000Z"
"1631683017814032386","2022-03-03T17:39:08.000Z","false","HOJEEEEE VAMBORA TOTK
AC/DC
canal no youtube: https://t.co/ZJnqnxEEMT…
😎","0","27237","164","742","true","1499439150596034567","false","1","Hyrule kingdom ","262","guaxi of the kingdom #Silksong","164","false","https://pbs.twimg.com/profile_banners/1499439150596034567/1684638472","https://pbs.twimg.com/profile_images/1658119514754621446/kIN5Wu8T_normal.jpg","imguaxi","9413","none",,"false",,"@UniversalPicsBr @rodrigocoelhoc a confirmação 
Dia 5 no Brasil tbm","1","0","2023-03-03T15:48:41.000Z"
"1631684369487220738","2022-03-19T21:49:33.000Z","false","e","0","212","0","5","true","1505300284150587392","false","0","","13","Gabriel Vinícius","0","false",,"https://pbs.twimg.com/profile_images/1648748238881579009/RLOACitc_normal.jpg","Gabriel78166881","148","none",,"false",,"@UniversalPicsBr Finalmente a data foi mudada mais Agente quer o Elenco Original Dublando #MarioSemStarTalent","5","0","2023-03-03T15:54:03.000Z"
"1631698065563189274","2022-04-02T00:39:08.000Z","false","A","0","115","2","4","false","1510054101224153096","false","0","","3","Pedro Henrique","2","false","https://pbs.twimg.com/profile_banners/1510054101224153096/1680564895","https://pbs.twimg.com/profile_images/1643034370595225601/a0wvUQpb_normal.jpg","DivertidosPedro","70","none",,"false",,"@UniversalPicsBr GRAÇAS A DEUS!!! E já que cês atenderam o pedido de adiantar o lançamento do filme, podiam atender a #MarioSemStarTalent tbm, né? O povo não quer famoso dublando pra querer assistir o filme, o povo quer Mario e dublagem boa!","5","0","2023-03-03T16:48:28.000Z"
"1631699538749554701","2022-08-07T15:13:40.000Z","false","𝘐 𝘥𝘪𝘥 𝘸𝘩𝘢𝘵 𝘯𝘦𝘦𝘥𝘦𝘥 𝘵𝘰 𝘣𝘦 𝘥𝘰𝘯𝘦!

Not shame, just the true!

A última Sacerdotisa de Cher","0","13634","208","377","true","1556297265756659712","false","0","","2051","FR🏳️‍🌈⃤CTAL","208","false","https://pbs.twimg.com/profile_banners/1556297265756659712/1682568577","https://pbs.twimg.com/profile_images/1651441048332255233/dp5mN34L_normal.jpg","soufractal","4761","none",,"false",,"@UniversalPicsBr Olá, por favor, no lançamento do filme e toda promoção que vier antes tragam todos, menos o Chris Pratt. Pela atenção, obrigadah! https://t.co/Ricw4UWH3a","1","1","2023-03-03T16:54:20.000Z"
"1631700403082362895","2011-05-26T20:54:02.000Z","false","My name is Luisi Félix da Silva, but my new name now is Goddess Princess Lulu. I live in Rio de Janeiro, Brazil and am an aspiring artist who draws by hobby","0","12050","799","88","false","305816745","false","18","Rio de janeiro, BR","1353","Goddess Princess Lulu","799","false","https://pbs.twimg.com/profile_banners/305816745/1644177142","https://pbs.twimg.com/profile_images/1589282202382114817/vacd1kcR_normal.jpg","luisifelix","14217","none","https://t.co/o37nUb9GTo","false",,"@UniversalPicsBr se voces atenderam aos pedidos de mudar a data do filme, entao porque nao atendam ao nosso pedidode nao colocar star talents na dublagem? #MarioSemStarTalent","3","0","2023-03-03T16:57:46.000Z"
"1631706601567420450","2022-01-29T15:18:09.000Z","false","Autistic | agender | artist | high ability/HG | 🇧🇷 | taken @m0kocchistan
 💙","0","86579","1469","438","true","1487444930826051585","false","30","Club Penguin Island","3848","🏳️‍⚧️ Autistazinha!!!","1469","false","https://pbs.twimg.com/profile_banners/1487444930826051585/1680383866","https://pbs.twimg.com/profile_images/1642275078992809993/vkK_3N0k_normal.jpg","autistazinha","21383","none",,"false",,"@UniversalPicsBr Não esqueçam do #MarioSemStarTalent https://t.co/Y6J2NlIYyc","5","1","2023-03-03T17:22:24.000Z"
"1631712611032080387","2015-11-20T20:44:29.000Z","false","Everything's Not Lost","0","19450","275","105","true","4237100853","false","1","East High School","543","iguuuuuu ×͜×","275","false","https://pbs.twimg.com/profile_banners/4237100853/1684776082","https://pbs.twimg.com/profile_images/1637276874593169408/ltI4x0mS_normal.jpg","UmIgorQualquer","7213","none",,"false",,"@UniversalPicsBr AAAAAAEEEEEE BOA","1","0","2023-03-03T17:46:16.000Z"
